,usaf,name,state,lat,lon
353,720787,JOHN BELL WILLIAMS AIRPORT,MS,32.304,-90.411
354,726873,IDAHO COUNTY AIRPORT,ID,45.943,-116.123
355,998438,TESORO MARINE TERMINAL,LA,29.667,-91.233
356,720928,DELAWARE MUNICIPAL JIM MOORE,OH,40.28,-83.115
357,749048,KEYSTONE AIRPARK,FL,29.845,-82.048
358,720927,FLETCHER FIELD AIRPORT,MS,34.3,-90.512
359,720925,ATLANTIS OIL PLATFORM,LA,27.2,-90.033
360,720926,BEAUMONT MUNICIPAL AIRPORT,TX,30.071,-94.216
361,720929,CUMERLAND MUNICIPAL AIRPORT,WI,45.506,-91.981
362,720735,NORTHWEST FLORIDA BEACHES INT,FL,30.349,-85.788
363,722518,NAVAL AUXILIARY LANDING FD,TX,27.9,-98.05
364,726950,NEWPORT MUNICIPAL AIRPORT,OR,44.583,-124.05
365,785265,FERNANDO LUIS RIBAS DOMINICCI,PR,18.457,-66.098
366,724678,STEAMBOAT SPRINGS/BOB ADAMS F,CO,40.517,-106.867
367,720505,WALKER COUNTY AIRPORT BEVILL,AL,33.902,-87.314
368,722118,VENICE MUNICIPAL AIRPORT,FL,27.072,-82.44
369,720924,ROSCOE TURNER AIRPORT,MS,34.915,-88.604
370,998436,BARCELONA HARBOR,NY,42.346,-79.596
372,720923,BOUNDARY COUNTY AIRPORT,ID,48.726,-116.295
373,720914,EUGENE ISLAND OIL PLATFORM,LA,28.633,-91.483
374,720915,EAST CAMERON 47 OIL PLATFORM ,LA,29.433,-92.983
375,720917,HIGH ISLAND 179 OIL PLATFORM ,TX,29.183,-94.517
376,720919,NORTH PADRE ISLAND,TX,26.833,-96.933
377,720921,WEST CAMERON 368 A OIL PLATFO,TX,28.917,-93.3
378,720922,ST GEORGE MUNI,UT,37.036,-113.51
379,720913,SALSA,LA,27.833,-91.983
380,720916,GREEN CANYON 338             ,LA,27.63,-90.45
381,720918,MAIN PASS 140B               ,LA,29.296,-88.842
382,720912,VIOSCA KNOLL 768 OIL PLATFORM,AL,29.233,-87.783
386,720699,CARROLL CO RGNL/JJACK B POAGE,MD,39.608,-77.008
387,742071,GRAY AFF AIRPORT,WA,47.083,-122.583
388,785510,HENRY E ROHLSEN AIRPORT,VI,17.7,-64.813
390,720455,MADISON AIRPORT,KY,37.633,-84.333
391,720911,BARNES COUNTY MUNICIPAL AIRPO,ND,46.942,-98.018
392,746380,MELROSE GUNNERY RANGE,NM,34.295,-103.786
393,720867,RUGBY MUNICIPAL AIRPORT,ND,48.39,-100.024
394,720868,WATFORD CITY MUNICIPAL AIRPOR,ND,47.796,-103.254
395,720909,STANLEY MUNICIPAL AIRPORT,ND,48.301,-102.406
396,720869,JESSE VIERTEL MEMORIAL AIRPOR,MO,38.947,-92.683
397,720538,VANCE BRAND AIRPORT,CO,40.167,-105.167
398,720852,MEADOW LAKE AIRPORT,CO,38.946,-104.57
399,720856,SCOTTSBORO MUNICIPAL AIRPORT,AL,34.689,-86.006
400,720537,HOLYOKE AIRPORT,CO,40.567,-102.267
401,720544,STERLING MUNICIPAL AIRPORT,CO,40.617,-103.267
403,720864,TARBORO EDGECOMBE AIRPORT,NC,35.937,-77.547
404,720858,CANDO MUNICIPAL AIRPORT,ND,48.48,-99.236
405,720862,ROBERTSON FLD,ND,48.753,-98.393
408,720853,ROLLA MUNICIPAL AIRPORT,ND,48.884,-99.621
409,720854,BEACH AIRPORT,ND,46.925,-103.982
410,720855,CAVALIER MUNICIPAL AIRPORT,ND,48.784,-97.632
411,720859,BLACK RIVER FALLS AREA AIRPOR,WI,44.251,-90.855
412,720861,CROSBY MUNICIPAL AIRPORT,ND,48.929,-103.297
413,720863,TIOGA MUNICIPAL AIRPORT,ND,48.381,-102.898
